UserID,Name,Gender,DOB,Interests,City,Country,Cleaned_Interests,Email,Username,Password
45081,Courtney Mercier,Female,1957-07-15,"'Books', 'Science', 'Gardening', 'DIY and crafts', 'Travel'",Tettnang,Germany,"['Books', 'Science', 'Gardening', 'DIY and crafts', 'Travel']",courtney.mercier@webstream.net,courtney_m94,letmein
16639,Veronica Bond,Female,1992-07-22,"'Pets', 'Music'",Coronel Oviedo,Paraguay,"['Pets', 'Music']",veronica.bond@webstream.net,veronica_b58,qwerty!
20425,Charles Stahlberg,Female,1970-01-05,"'Education and learning', 'Travel', 'Gaming', 'Health and wellness'",Chenjiaba,China,"['Education and learning', 'Travel', 'Gaming', 'Health and wellness']",charles.stahlberg@mail.com,charles_s11,abc123
88703,Bobby Nielson,Female,1972-02-02,"'Health and wellness', 'Politics'",Mitsuke,Japan,"['Health and wellness', 'Politics']",bobby.nielson@mail.com,bobby_n24,politics52
150,Lee Patterson,Male,1987-01-08,'DIY and crafts',Tríkala,Greece,['DIY and crafts'],lee.patterson@streamhub.net,lee_p66,12345678
1762,Annie Loudy,Female,1979-12-02,"'Nature', 'Health and wellness', 'Sports'",Santos,Brazil,"['Nature', 'Health and wellness', 'Sports']",annie.loudy@streamhub.net,annie_l93,12345678
63121,Alton Billingsley,Male,2001-08-30,"'Travel', 'Gaming', 'Politics'",Ipojuca,Brazil,"['Travel', 'Gaming', 'Politics']",alton.billingsley@mail.com,alton_b51,gaming38
69162,Jeannette Jensen,Male,1987-05-04,'Food and dining',Pantelimon,Romania,['Food and dining'],jeannette.jensen@streamhub.net,jeannette_j80,jeannette87
64884,Ruben Artis,Female,1970-10-28,'Technology',Karakul’,Uzbekistan,['Technology'],ruben.artis@mail.com,ruben_a24,technology3
2496,Michael Espinal,Female,1964-03-29,"'DIY and crafts', 'Beauty', 'Sports', 'Science', 'Technology'",Ash Shuhadā’,Egypt,"['DIY and crafts', 'Beauty', 'Sports', 'Science', 'Technology']",michael.espinal@webstream.net,michael_e21,12345678
80297,Mary Coty,Female,1958-01-17,"'Sports', 'Finance and investments', 'Politics'",Saint-Maximin-la-Sainte-Baume,France,"['Sports', 'Finance and investments', 'Politics']",mary.coty@webstream.net,mary_c34,sports85
19448,Rita Bays,Female,1954-04-24,"'Politics', 'Education and learning', 'Finance and investments'",Heusy,Belgium,"['Politics', 'Education and learning', 'Finance and investments']",rita.bays@mail.com,rita_b81,educationandlearning61
41332,Ryan Wood,Male,1956-06-30,'Nature',Carúpano,Venezuela,['Nature'],ryan.wood@webstream.net,ryan_w21,letmein
14889,Aaron Beasley,Male,2003-03-10,"'Politics', 'Sports', 'Business and entrepreneurship'",Ueda,Japan,"['Politics', 'Sports', 'Business and entrepreneurship']",aaron.beasley@streamhub.net,aaron_b46,aaron03
88637,Kristine Jarrard,Male,1969-11-04,'Parenting and family',Fidenza,Italy,['Parenting and family'],kristine.jarrard@mail.com,kristine_j65,iloveyou
94893,Jean Lollar,Male,1961-11-15,"'Nature', 'Finance and investments', 'Movies', 'Books', 'Fashion'",Shihui,China,"['Nature', 'Finance and investments', 'Movies', 'Books', 'Fashion']",jean.lollar@webstream.net,jean_l75,fashion87
92732,Gregory Offield,Male,1954-07-28,"'Fashion', 'Health and wellness', 'Science'",Oak Creek,United States,"['Fashion', 'Health and wellness', 'Science']",gregory.offield@mail.com,gregory_o69,12345678
29131,David Davis,Male,1998-02-12,"'Education and learning', 'Business and entrepreneurship'",Roehampton,United Kingdom,"['Education and learning', 'Business and entrepreneurship']",david.davis@mail.com,david_d78,david98
79023,Linda Choate,Male,1961-02-27,"'History', 'Movies', 'Beauty', 'Movies'",Quetta,Pakistan,"['History', 'Movies', 'Beauty', 'Movies']",linda.choate@mail.com,linda_c77,12345678
84937,Theresa Pope,Female,1959-02-12,'Fashion',San Francisco,Philippines,['Fashion'],theresa.pope@streamhub.net,theresa_p39,iloveyou
16822,Kyle Hinojosa,Male,1995-09-02,"'Gaming', 'Parenting and family', 'Fashion', 'Health and wellness', 'Gardening'",Diinsoor,Somalia,"['Gaming', 'Parenting and family', 'Fashion', 'Health and wellness', 'Gardening']",kyle.hinojosa@mail.com,kyle_h45,healthandwellness11
36734,Elizabeth Godwin,Male,1963-05-05,"'Gaming', 'Art', 'Fashion', 'Parenting and family'",Albany Park,United States,"['Gaming', 'Art', 'Fashion', 'Parenting and family']",elizabeth.godwin@streamhub.net,elizabeth_g29,abc123
15603,Timothy Buggs,Female,2000-11-03,"'Cars and automobiles', 'Fashion', 'Travel'",Kiliya,Ukraine,"['Cars and automobiles', 'Fashion', 'Travel']",timothy.buggs@webstream.net,timothy_b83,timothy00
28534,William Culverhouse,Male,1990-07-15,"'Beauty', 'Nature', 'Business and entrepreneurship'",Budge Budge,India,"['Beauty', 'Nature', 'Business and entrepreneurship']",william.culverhouse@streamhub.net,william_c61,william90
69770,Franklin Mccrory,Male,1968-03-05,"'Cars and automobiles', 'Parenting and family'",Adūr,India,"['Cars and automobiles', 'Parenting and family']",franklin.mccrory@webstream.net,franklin_m43,carsandautomobiles38
11406,Joseph Mcray,Female,1975-10-07,"'Social causes and activism', 'Nature', 'Nature', 'Gardening', 'Sports'",Hoppers Crossing,Australia,"['Social causes and activism', 'Nature', 'Nature', 'Gardening', 'Sports']",joseph.mcray@mail.com,joseph_m50,sports31
96853,Linda Gaddis,Female,1957-06-12,"'Beauty', 'Food and dining'",Nūrābād,Iran,"['Beauty', 'Food and dining']",linda.gaddis@streamhub.net,linda_g53,letmein
16131,Patricia Mackinder,Female,1994-02-08,"'Sports', 'Science', 'DIY and crafts', 'Education and learning', 'Finance and investments'",Bronnitsy,Russia,"['Sports', 'Science', 'DIY and crafts', 'Education and learning', 'Finance and investments']",patricia.mackinder@webstream.net,patricia_m59,patricia94
19793,Wanda Dighton,Male,1977-05-26,"'Photography', 'Science'",Cayey,Puerto Rico,"['Photography', 'Science']",wanda.dighton@webstream.net,wanda_d15,photography73
89578,Matthew Lambert,Female,1971-02-02,'Gaming',Odawara,Japan,['Gaming'],matthew.lambert@webstream.net,matthew_l75,matthew71
40164,Anne Ober,Female,1972-01-20,"'Outdoor activities', 'Finance and investments', 'Fashion'",Piura,Peru,"['Outdoor activities', 'Finance and investments', 'Fashion']",anne.ober@streamhub.net,anne_o10,anne72
31777,Marion Clark,Male,1966-05-19,"'Sports', 'Gardening', 'History'",Longxing,China,"['Sports', 'Gardening', 'History']",marion.clark@streamhub.net,marion_c60,password123
25331,Anne Aumick,Female,1979-05-18,"'History', 'Parenting and family', 'Pets'",Courcelles,Belgium,"['History', 'Parenting and family', 'Pets']",anne.aumick@webstream.net,anne_a77,qwerty!
79157,Samuel Alvarez,Female,2000-06-07,"'Gardening', 'Technology', 'Beauty', 'Photography', 'Health and wellness'",Chegem,Russia,"['Gardening', 'Technology', 'Beauty', 'Photography', 'Health and wellness']",samuel.alvarez@mail.com,samuel_a55,12345678
51686,James Canta,Female,1989-10-11,'Books',Houghton-Le-Spring,United Kingdom,['Books'],james.canta@streamhub.net,james_c94,iloveyou
75499,Murray Maclean,Female,1981-06-20,'Business and entrepreneurship',Hancheng,China,['Business and entrepreneurship'],murray.maclean@streamhub.net,murray_m91,abc123
4728,Amber Gantner,Male,1963-01-16,"'Fashion', 'Nature', 'Books'",Kāmākhyānagar,India,"['Fashion', 'Nature', 'Books']",amber.gantner@webstream.net,amber_g35,amber63
85199,Jonathan Eargle,Female,1973-08-03,"'Outdoor activities', 'Travel', 'Books', 'Fashion', 'Gaming'",Malolos,Philippines,"['Outdoor activities', 'Travel', 'Books', 'Fashion', 'Gaming']",jonathan.eargle@streamhub.net,jonathan_e53,12345678
